% Model:              3D_mode.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 13 2025, 17:51
% Table:              Table 1 - Global Evaluation 2
% hg (m)                                          lam (m)                                           real(ewfd.neff_2) (1)
9.000000000000001E-8                              1.5350000000000001E-6                             1.7028358909617551
9.000000000000001E-8                              1.54E-6                                           1.6984952797738768
9.000000000000001E-8                              1.545E-6                                          1.694236166766465
9.000000000000001E-8                              1.5500000000000002E-6                             1.690015320771359
9.000000000000001E-8                              1.5550000000000001E-6                             1.6858438604921644
9.000000000000001E-8                              1.56E-6                                           1.6817085414602666
1.0000000000000001E-7                             1.5350000000000001E-6                             1.7758475545023948
1.0000000000000001E-7                             1.54E-6                                           1.7708866248795732
1.0000000000000001E-7                             1.545E-6                                          1.7659929906794856
1.0000000000000001E-7                             1.5500000000000002E-6                             1.7611599047368776
1.0000000000000001E-7                             1.5550000000000001E-6                             1.7563424063109425
1.0000000000000001E-7                             1.56E-6                                           1.7515759197131384
1.1E-7                                            1.5350000000000001E-6                             1.850115385471159
1.1E-7                                            1.54E-6                                           1.844701631372603
1.1E-7                                            1.545E-6                                          1.8393306496670452
1.1E-7                                            1.5500000000000002E-6                             1.8340008967371209
1.1E-7                                            1.5550000000000001E-6                             1.8287113559020214
1.1E-7                                            1.56E-6                                           1.8234518969922984
1.2000000000000002E-7                             1.5350000000000001E-6                             1.9233441950827785
1.2000000000000002E-7                             1.54E-6                                           1.917597460875876
1.2000000000000002E-7                             1.545E-6                                          1.91190254588871
1.2000000000000002E-7                             1.5500000000000002E-6                             1.9062334033446426
1.2000000000000002E-7                             1.5550000000000001E-6                             1.9005872648312332
1.2000000000000002E-7                             1.56E-6                                           1.894967931831123
1.3000000000000003E-7                             1.5350000000000001E-6                             1.9941661197553626
1.3000000000000003E-7                             1.54E-6                                           1.9881799619439653
1.3000000000000003E-7                             1.545E-6                                          1.9822769099985815
1.3000000000000003E-7                             1.5500000000000002E-6                             1.9763786583100487
1.3000000000000003E-7                             1.5550000000000001E-6                             1.9704798571372975
1.3000000000000003E-7                             1.56E-6                                           1.9646369144434264
1.4E-7                                            1.5350000000000001E-6                             2.0615385620779607
1.4E-7                                            1.54E-6                                           2.0554379195527215
1.4E-7                                            1.545E-6                                          2.04939986955589
1.4E-7                                            1.5500000000000002E-6                             2.043356318650976
1.4E-7                                            1.5550000000000001E-6                             2.0373258687887206
1.4E-7                                            1.56E-6                                           2.031301165755843
1.5000000000000002E-7                             1.5350000000000001E-6                             2.1250678793205737
1.5000000000000002E-7                             1.54E-6                                           2.118920373505679
1.5000000000000002E-7                             1.545E-6                                          2.1127893524647954
1.5000000000000002E-7                             1.5500000000000002E-6                             2.1066825807805523
1.5000000000000002E-7                             1.5550000000000001E-6                             2.1005806047405007
1.5000000000000002E-7                             1.56E-6                                           2.094469990968262
1.6E-7                                            1.5350000000000001E-6                             2.184556742041562
1.6E-7                                            1.54E-6                                           2.1783894777780857
1.6E-7                                            1.545E-6                                          2.1722436587805283
1.6E-7                                            1.5500000000000002E-6                             2.166101007959443
1.6E-7                                            1.5550000000000001E-6                             2.1599906645014966
1.6E-7                                            1.56E-6                                           2.1538529103537796
1.7000000000000001E-7                             1.5350000000000001E-6                             2.2399819656687114
1.7000000000000001E-7                             1.54E-6                                           2.2338428671676365
1.7000000000000001E-7                             1.545E-6                                          2.227725662723409
1.7000000000000001E-7                             1.5500000000000002E-6                             2.2216054007020727
1.7000000000000001E-7                             1.5550000000000001E-6                             2.215486205836365
1.7000000000000001E-7                             1.56E-6                                           2.209368076506147
1.8000000000000002E-7                             1.5350000000000001E-6                             2.2915425539136525
1.8000000000000002E-7                             1.54E-6                                           2.285451152991165
1.8000000000000002E-7                             1.545E-6                                          2.2793711579315397
1.8000000000000002E-7                             1.5500000000000002E-6                             2.273297037851332
1.8000000000000002E-7                             1.5550000000000001E-6                             2.267219421079051
1.8000000000000002E-7                             1.56E-6                                           2.2611421733939867
1.9E-7                                            1.5350000000000001E-6                             2.339418396358906
1.9E-7                                            1.54E-6                                           2.333391053836478
1.9E-7                                            1.545E-6                                          2.3273782435949126
1.9E-7                                            1.5500000000000002E-6                             2.3213593889024438
1.9E-7                                            1.5550000000000001E-6                             2.315342778770444
1.9E-7                                            1.56E-6                                           2.3093190201049487
2.0000000000000002E-7                             1.5350000000000001E-6                             2.3838327707166616
2.0000000000000002E-7                             1.54E-6                                           2.377887487029814
2.0000000000000002E-7                             1.545E-6                                          2.3719448307951176
2.0000000000000002E-7                             1.5500000000000002E-6                             2.3660047981405246
2.0000000000000002E-7                             1.5550000000000001E-6                             2.360055601548771
2.0000000000000002E-7                             1.56E-6                                           2.354106070267067
2.1000000000000003E-7                             1.5350000000000001E-6                             2.4250467511542415
2.1000000000000003E-7                             1.54E-6                                           2.4191882325147875
2.1000000000000003E-7                             1.545E-6                                          2.413328172352238
2.1000000000000003E-7                             1.5500000000000002E-6                             2.407468992563251
2.1000000000000003E-7                             1.5550000000000001E-6                             2.401603034745095
2.1000000000000003E-7                             1.56E-6                                           2.3957303306346818
2.2E-7                                            1.5350000000000001E-6                             2.4632936889540025
2.2E-7                                            1.54E-6                                           2.457522911231887
2.2E-7                                            1.545E-6                                          2.4517529434345984
2.2E-7                                            1.5500000000000002E-6                             2.4459765641250995
2.2E-7                                            1.5550000000000001E-6                             2.44019887430011
2.2E-7                                            1.56E-6                                           2.4344121398931393
